student_id,minutes_watched,paid_in_q2
3712,1291.95,1
3728,5362.50,1
3750,155.46,1
3758,153.97,1
3774,1069.77,1
3779,5330.70,1
3780,251.30,1
3781,17607.92,1
3785,362.23,1
3787,432.66,1
3797,920.46,1
3799,230.24,1
3809,7.32,1
3814,164.12,1
3815,210.95,1
3817,92.34,1
3824,17.34,1
3832,258.30,1
3840,0.42,1
3850,811.16,1
3852,2014.24,1
3856,1926.74,1
3857,5.00,1
3860,799.35,1
3864,2346.15,1
3865,455.40,1
3874,4.06,1
3875,1552.89,1
3878,12.18,1
3897,0.24,1
3908,79.92,1
3913,0.20,1
3914,25.74,1
3920,0.14,1
3927,2786.14,1
3931,1.98,1
3934,98.72,1
3936,599.56,1
3938,100.76,1
3943,167.14,1
3949,214.07,1
3965,9.58,1
3969,56.20,1
3977,109.32,1
3980,48.60,1
3983,55.86,1
3984,1394.26,1
3985,0.37,1
3987,206.74,1
4001,362.30,1
4003,0.05,1
4013,1200.62,1
4019,1245.90,1
4034,1226.82,1
4040,740.58,1
4043,2192.08,1
4050,4047.10,1
4053,99.06,1
4054,199.16,1
4055,17.66,1
4062,89.43,1
4097,0.07,1
4104,251.62,1
4112,4.95,1
4132,2009.48,1
4135,0.16,1
4143,229.80,1
4156,1131.15,1
4158,19.97,1
4160,602.40,1
4162,1.65,1
4186,453.50,1
4220,39.90,1
4230,262.80,1
4231,1339.84,1
4241,58.10,1
4266,330.60,1
4294,51.43,1
4311,9.16,1
4320,15.39,1
4322,51.80,1
4336,947.95,1
4337,2037.24,1
4347,34.98,1
4360,410.67,1
4363,55.52,1
4371,27.80,1
4376,429.36,1
4377,42.03,1
4381,15.08,1
4384,796.64,1
4393,117.22,1
4395,3.90,1
4400,2075.54,1
4402,324.80,1
4404,1230.70,1
4413,833.65,1
4435,2418.96,1
4450,0.35,1
4458,69.93,1
4464,67.80,1
4514,1224.60,1
4515,87.05,1
4522,1.34,1
4537,678.32,1
4539,0.05,1
4544,49.55,1
4551,0.13,1
4553,0.12,1
4568,103.60,1
4574,36.10,1
4582,123.75,1
4585,635.97,1
4593,2.80,1
4595,179.10,1
4609,19.22,1
4613,654.15,1
4615,0.37,1
4617,1127.90,1
4621,1119.22,1
4629,3625.66,1
4640,587.64,1
4646,298.74,1
4685,12.56,1
4686,9.36,1
4692,106.05,1
4698,51.76,1
4706,304.38,1
4707,3924.15,1
4721,4833.30,1
4723,311.46,1
4739,3075.88,1
4743,36.70,1
4745,225.20,1
4751,2.50,1
4756,290.25,1
4784,26.74,1
4790,411.30,1
4793,10.26,1
4795,510.04,1
4797,10.54,1
4801,359.40,1
4803,218.30,1
4827,20.76,1
4828,0.48,1
4829,1987.66,1
4837,1635.00,1
4843,1784.64,1
4849,2723.32,1
4861,10.80,1
4869,556.38,1
4872,721.40,1
4874,1174.86,1
4877,25.20,1
4884,0.20,1
4898,306.86,1
4917,1.90,1
4921,275.78,1
4927,79.94,1
4939,3121.83,1
4946,22.57,1
4958,7246.15,1
4969,36.26,1
4972,675.08,1
4991,2840.31,1
5010,1174.41,1
5028,1638.36,1
5036,4820.75,1
5058,15.68,1
5063,0.10,1
5064,504.34,1
5070,363.14,1
5071,630.64,1
5075,575.22,1
5076,696.76,1
5080,2681.64,1
5088,0.78,1
5094,2367.84,1
5098,563.06,1
5104,760.20,1
5130,1750.16,1
5136,13.90,1
5143,60.24,1
5153,59.78,1
5155,109.20,1
5203,2043.45,1
5212,1247.16,1
5221,0.07,1
5223,585.87,1
5227,0.33,1
5262,426.52,1
5274,22.08,1
5279,139.42,1
5286,453.20,1
5299,265.10,1
5309,710.53,1
